rank,openalex_author_id,author,rwd_name_variants,unique_retracted_papers,openalex_works,retracted_papers_per_100_works,first_retraction_year,last_retraction_year,median_retraction_lag_years,orcid,match_confidence,match_confidence_explanation,identity_decision,identity_decision_explanation,review_evidence,merged_openalex_ids,raw_openalex_profile_count,works_count_method,exact_match_papers,initial_match_papers
2903,A5100361031,Li Li,Li Li,1,90,1.11,2011,2011,0.0,https://orcid.org/0000-0001-7977-9632,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361031,1,Profile count,1,0
2904,A5100361041,Li Li,Li Li,1,1536,0.07,2024,2024,3.0,https://orcid.org/0000-0001-8485-2216,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361041,1,Profile count,1,0
2905,A5100361061,Li Li,Li Li,1,158,0.63,2024,2024,1.0,https://orcid.org/0000-0001-9165-2968,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361061,1,Profile count,1,0
2906,A5100361063,Li Li,Li Li,1,108,0.93,2019,2019,0.0,https://orcid.org/0000-0001-9355-7059,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361063,1,Profile count,1,0
2907,A5100361077,Li Li,Li Li,1,12,8.33,2011,2011,0.0,https://orcid.org/0000-0001-9978-6346,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361077,1,Profile count,1,0
2908,A5100361099,Li Li,Li Li,1,1037,0.1,2023,2023,1.0,https://orcid.org/0000-0002-1242-3866,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361099,1,Profile count,1,0
2909,A5100361104,Li Li,Li Li,1,32,3.12,2010,2010,0.0,https://orcid.org/0000-0002-1391-2581,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361104,1,Profile count,1,0
2910,A5100361111,Li Li,Li Li,1,92,1.09,2019,2019,0.0,https://orcid.org/0000-0002-1595-3811,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361111,1,Profile count,1,0
2911,A5100361117,Li Li,Li Li,1,62,1.61,2011,2011,0.0,https://orcid.org/0000-0002-1963-8587,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361117,1,Profile count,1,0
2912,A5100361142,Li Li,Li Li,1,40,2.5,2010,2010,0.0,https://orcid.org/0000-0002-3414-5561,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361142,1,Profile count,1,0
2913,A5100361182,Li Li,Li Li,1,86,1.16,2021,2021,0.0,https://orcid.org/0000-0002-4904-7075,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361182,1,Profile count,1,0
2914,A5100361190,Li Li,Li Li,1,135,0.74,2023,2023,2.0,https://orcid.org/0000-0002-5453-226x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361190,1,Profile count,1,0
2915,A5100361194,Li Li,Li Li,1,190,0.53,2022,2022,6.0,https://orcid.org/0000-0002-5587-5504,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361194,1,Profile count,1,0
2916,A5100361203,Li Li,Li Li,1,35,2.86,2022,2022,0.0,https://orcid.org/0000-0002-6011-2843,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361203,1,Profile count,1,0
2917,A5100361204,Li Li,Li Li,1,36,2.78,2019,2019,6.0,https://orcid.org/0000-0002-6058-9326,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361204,1,Profile count,1,0
2918,A5100361210,Li Li,Li Li,1,142,0.7,2023,2023,2.0,https://orcid.org/0000-0002-6430-6290,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361210,1,Profile count,1,0
2919,A5100361212,Li Li,Li Li,1,95,1.05,2023,2023,1.0,https://orcid.org/0000-0002-6506-1555,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361212,1,Profile count,1,0
2920,A5100361219,Li Li,Li Li,1,312,0.32,2020,2020,2.0,https://orcid.org/0000-0002-6789-2328,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361219,1,Profile count,1,0
2921,A5100361237,Li Li,Li Li,1,43,2.33,2023,2023,9.0,https://orcid.org/0000-0002-7330-7308,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361237,1,Profile count,1,0
2922,A5100361245,Li Li,Li Li,1,697,0.14,2023,2023,1.0,https://orcid.org/0000-0002-7720-6731,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361245,1,Profile count,1,0
2923,A5100361256,Li Li,Li Li,1,22,4.55,2023,2023,2.0,https://orcid.org/0000-0002-8356-1844,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361256,1,Profile count,1,0
2924,A5100361259,Li Li,Li Li,1,466,0.21,2020,2020,0.0,https://orcid.org/0000-0002-8630-3699,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361259,1,Profile count,1,0
2925,A5100361281,Li Li,Li Li,1,34,2.94,2011,2011,0.0,https://orcid.org/0000-0002-9571-6575,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361281,1,Profile count,1,0
2926,A5100361286,Li Li,Li Li,1,43,2.33,2023,2023,1.0,https://orcid.org/0000-0002-9741-3789,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361286,1,Profile count,1,0
2927,A5100361301,Li Li,Li Li,1,61,1.64,2023,2023,2.0,https://orcid.org/0000-0003-0328-1859,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361301,1,Profile count,1,0
2928,A5100361312,Li Li,Li Li,1,18,5.56,2023,2023,2.0,https://orcid.org/0000-0003-0839-3702,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361312,1,Profile count,1,0
2929,A5100361334,Li Li,Li Li,1,42,2.38,2011,2011,0.0,https://orcid.org/0000-0003-1527-3194,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361334,1,Profile count,1,0
2930,A5100361344,Li Li,Li Li,1,293,0.34,2022,2022,5.0,https://orcid.org/0000-0003-2247-5720,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361344,1,Profile count,1,0
2931,A5100361351,Li Li,Li Li,1,42,2.38,2023,2023,8.0,https://orcid.org/0000-0003-2453-558x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361351,1,Profile count,1,0
2932,A5100361352,Li Li,Li Li,1,303,0.33,2022,2022,3.0,https://orcid.org/0000-0003-2459-3499,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361352,1,Profile count,1,0
2933,A5100361371,Li Li,Li Li,1,53,1.89,2013,2013,1.0,https://orcid.org/0000-0003-3158-4697,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361371,1,Profile count,1,0
2934,A5100361387,Li Li,Li Li,1,197,0.51,2010,2010,0.0,https://orcid.org/0000-0003-3944-906x,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361387,1,Profile count,1,0
2935,A5100361395,Li Li,Li Li,1,50,2.0,2025,2025,0.0,https://orcid.org/0000-0003-4084-0955,High,High confidence: all 1 papers match the full RWD name exactly and the profile also has an ORCID.,Exact DOI-level match,We kept this as one OpenAlex identity and did not merge any other profile into it.,All matched papers use an exact normalized author name.,A5100361395,1,Profile count,1,0
